epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.6284,2.54844,7.23141,1.62597,0.00123,1,0.54122,0.16981,1.1721,17.3396,0.70218,0.00026,0.00026,0.00026
2,156.525,1.66928,9.22009,1.0842,0.00117,0.95,0.42806,0.11738,1.04863,16.897,0.69531,0.000529308,0.000529308,0.000529308
3,234.497,1.99122,4.95862,1.45102,0.00123,1,0.56997,0.17136,0.94747,16.6598,0.67725,0.000787528,0.000787528,0.000787528
4,327.497,1.91535,4.41876,1.60519,0.00123,1,0.66589,0.20066,1.06914,16.6768,0.73786,0.00103466,0.00103466,0.00103466
5,409.538,1.95127,4.71734,1.60148,0.00123,1,0.343,0.06505,1.01695,16.6191,0.77287,0.0012707,0.0012707,0.0012707
6,456.56,1.68984,4.5326,1.43182,0.00123,1,0.07002,0.01445,0.93814,16.5225,0.80396,0.00149566,0.00149566,0.00149566
7,501.703,1.99904,8.22812,1.74504,1,0.50501,0.975,0.39741,0.98368,15.8682,1.04607,0.00170953,0.00170953,0.00170953
8,547.06,2.09696,4.92882,1.84571,0.00123,1,0.61018,0.26275,1.04646,15.1372,1.06877,0.0017228,0.0017228,0.0017228
9,592.538,1.68775,6.25386,1.45258,0.60572,0.5,0.55108,0.16498,1.00733,14.0793,0.97904,0.0016832,0.0016832,0.0016832
10,637.533,1.85414,4.44421,1.65197,0.68991,0.7,0.72576,0.22327,1.04606,13.0626,1.08687,0.0016436,0.0016436,0.0016436
11,683.946,1.63039,6.29352,1.46421,0.73496,0.69357,0.81241,0.37491,0.96228,12.147,1.04476,0.001604,0.001604,0.001604
12,727.238,1.94078,5.83193,1.65105,0.73984,0.7,0.81378,0.4252,0.91766,11.1571,1.00914,0.0015644,0.0015644,0.0015644
13,773.989,1.99807,4.03046,1.65898,0.94206,0.85,0.95638,0.40476,0.93917,10.4605,1.02241,0.0015248,0.0015248,0.0015248
14,820.442,1.70986,3.47769,1.66088,0.94206,0.85,0.95638,0.40476,0.93917,10.4605,1.02241,0.0014852,0.0014852,0.0014852
15,867.725,1.82721,3.20148,1.85487,0.85975,1,0.96432,0.45447,0.82086,9.70245,0.95995,0.0014456,0.0014456,0.0014456
16,914.187,1.69811,3.2126,1.57628,0.90616,1,0.95214,0.38806,0.94598,9.55971,1.08843,0.001406,0.001406,0.001406
17,962.753,1.63446,3.57152,1.59204,0.97953,1,0.995,0.39908,0.93241,9.28372,1.04267,0.0013664,0.0013664,0.0013664
18,1010.75,1.60821,4.44571,1.59809,0.90889,0.99769,0.98045,0.4484,0.90543,9.15328,0.98298,0.0013268,0.0013268,0.0013268
19,1057.44,1.78163,2.88048,1.92736,0.9438,1,0.9831,0.49545,0.87678,9.3002,0.96995,0.0012872,0.0012872,0.0012872
20,1106.84,1.72935,2.15209,1.58961,0.94883,1,0.99262,0.31071,1.1049,9.6208,1.17076,0.0012476,0.0012476,0.0012476
21,1153.34,1.8501,4.09042,1.61119,0.93381,0.95,0.94667,0.27994,1.19603,9.1836,1.23,0.001208,0.001208,0.001208
